real_timestamp,TXspot,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
1.46904,1,28,-64,1,0,0,0,0,0,0,0,0,0,13,20,13,22,12,20,12,21,10,20,10,21,9,20,9,20,9,19,8,18,9,18,9,18,9,17,8,17,8,17,8,16,8,17,7,14,7,15,8,14,8,14,8,14,7,13,9,13,9,14,8,14,0,0,8,14,7,13,8,14,7,12,8,13,8,13,7,13,7,13,7,13,7,13,8,14,7,13,7,13,7,14,7,13,7,14,7,14,8,14,7,14,7,14,8,15,8,14,9,15,10,15,10,15,10,15,0,0,0,0,0,0,0,0,0,0
1.47513,1,-99,-48,9,0,0,0,0,0,0,0,0,0,-17,18,-20,13,-16,14,-17,13,-19,12,-17,13,-17,12,-16,12,-16,12,-16,11,-16,12,-15,12,-15,11,-15,12,-14,10,-14,11,-14,11,-13,10,-13,11,-12,10,-12,10,-12,10,-10,9,-10,11,-11,12,-10,11,0,0,-10,10,-10,11,-11,11,-10,10,-10,10,-10,10,-10,10,-11,9,-9,9,-8,8,-10,10,-10,10,-10,10,-10,11,-10,10,-11,11,-10,10,-11,11,-11,11,-10,11,-10,11,-11,11,-10,12,-10,13,-10,13,-10,13,0,0,0,0,0,0,0,0,0,0
1.49004,1,-121,112,8,0,0,0,0,0,0,0,0,0,-28,14,-28,12,-29,13,-28,13,-28,11,-27,10,-27,10,-26,9,-25,9,-25,8,-26,9,-24,9,-24,9,-23,8,-22,8,-23,10,-21,9,-20,8,-20,8,-20,9,-19,8,-19,9,-19,8,-19,9,-19,10,-19,9,0,0,-18,8,-18,10,-18,10,-18,10,-17,9,-18,9,-18,9,-18,8,-17,9,-19,8,-18,9,-18,8,-17,8,-18,8,-18,9,-18,9,-19,9,-18,9,-19,9,-18,9,-19,10,-19,10,-20,10,-20,11,-19,11,-20,11,0,0,0,0,0,0,0,0,0,0
1.52228,1,-122,-31,23,0,0,0,0,0,0,0,0,0,8,9,8,8,7,8,7,9,7,9,6,8,7,8,6,8,6,8,5,8,5,8,5,7,5,7,5,7,5,7,5,6,5,7,5,6,5,6,5,6,5,6,5,6,5,5,4,6,4,5,5,5,0,0,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,6,5,0,0,0,0,0,0,0,0,0,0
1.54083,1,-122,-31,23,0,0,0,0,0,0,0,0,0,3,14,3,13,2,13,2,13,2,13,1,13,1,12,1,12,1,12,1,12,1,11,1,11,1,11,1,11,2,10,1,10,1,10,1,10,1,10,1,9,1,9,1,9,2,8,1,9,1,9,2,8,0,0,1,8,1,8,2,8,1,7,1,8,1,7,1,8,1,7,1,7,1,7,1,7,0,7,1,7,1,7,1,7,1,7,1,7,1,7,1,8,1,8,1,8,1,8,1,8,1,8,2,8,2,8,0,0,0,0,0,0,0,0,0,0
1.57576,1,82,-96,4,0,0,0,0,0,0,0,0,0,23,10,23,11,22,11,23,11,21,11,21,12,20,11,19,12,19,10,17,10,19,10,18,9,18,8,17,7,16,8,17,6,16,7,15,7,15,6,15,6,14,6,14,5,13,5,14,4,13,4,14,4,0,0,13,4,13,3,13,3,12,3,12,3,12,4,12,3,11,4,10,3,10,4,11,3,10,3,9,3,10,4,10,4,10,4,10,4,10,5,10,5,10,5,10,5,10,5,10,5,11,5,11,5,11,5,0,0,0,0,0,0,0,0,0,0
1.73635,1,82,-96,4,0,0,0,0,0,0,0,0,0,-25,5,-25,5,-25,4,-26,4,-24,2,-24,1,-24,1,-24,0,-23,0,-22,-1,-22,0,-22,-1,-21,-1,-21,-1,-20,-2,-20,-1,-19,-2,-17,-2,-18,-2,-17,-2,-17,-3,-17,-3,-16,-2,-17,-2,-17,-1,-17,-2,0,0,-17,-1,-17,-1,-17,-1,-16,-1,-17,-1,-17,0,-18,-1,-17,-1,-17,1,-18,0,-19,1,-18,1,-18,2,-19,1,-18,2,-20,2,-19,3,-20,3,-20,3,-20,4,-20,5,-20,5,-20,6,-20,7,-20,8,-20,9,0,0,0,0,0,0,0,0,0,0
1.99954,1,82,-96,4,0,0,0,0,0,0,0,0,0,-27,2,-28,1,-28,1,-28,0,-26,-1,-26,-2,-26,-2,-25,-3,-24,-3,-23,-3,-24,-4,-23,-4,-22,-4,-21,-4,-20,-4,-21,-4,-19,-5,-18,-5,-18,-5,-18,-5,-18,-4,-17,-5,-16,-5,-17,-4,-17,-4,-17,-4,0,0,-16,-4,-17,-4,-17,-4,-16,-4,-16,-3,-17,-3,-17,-3,-17,-3,-17,-2,-17,-3,-19,-3,-18,-3,-18,-2,-19,-2,-19,-2,-20,-2,-19,-1,-20,-1,-21,-1,-21,0,-21,0,-21,0,-21,1,-23,2,-22,2,-22,3,0,0,0,0,0,0,0,0,0,0
2.50889,1,82,-96,4,0,0,0,0,0,0,0,0,0,-32,-11,-31,-11,-31,-12,-31,-13,-29,-13,-28,-13,-28,-13,-26,-13,-26,-13,-25,-13,-26,-13,-25,-13,-24,-12,-22,-11,-21,-11,-22,-11,-20,-10,-19,-9,-19,-9,-19,-8,-18,-8,-18,-8,-17,-7,-18,-6,-18,-6,-18,-6,0,0,-16,-5,-17,-4,-16,-4,-15,-3,-15,-3,-15,-3,-15,-2,-15,-2,-14,-2,-15,-2,-15,-2,-14,-1,-14,-1,-14,-1,-14,-1,-14,-1,-14,0,-13,0,-14,-1,-13,-1,-14,0,-13,0,-13,0,-13,0,-13,0,-13,0,0,0,0,0,0,0,0,0,0,0
2.73247,1,82,-96,4,0,0,0,0,0,0,0,0,0,2,11,2,11,1,11,1,11,0,11,0,10,0,11,-1,10,-2,10,-2,10,-2,10,-2,9,-2,10,-3,9,-3,8,-3,9,-3,8,-3,7,-3,8,-3,7,-3,7,-3,7,-3,7,-3,7,-2,7,-2,7,0,0,-2,7,-2,7,-1,7,-1,7,-2,7,-1,7,-1,7,-1,7,-1,8,-1,8,0,8,0,8,0,8,1,9,1,9,1,9,1,9,2,9,2,9,2,9,2,9,2,10,3,10,3,9,4,9,4,10,0,0,0,0,0,0,0,0,0,0
