real_timestamp,Zone,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
2.1546,1,28,-64,1,0,0,0,0,0,0,0,0,0,22,-18,22,-16,22,-16,22,-14,22,-11,21,-9,19,-10,18,-7,17,-8,16,-6,15,-7,13,-5,11,-5,12,-5,10,-6,8,-7,7,-7,8,-7,7,-8,6,-8,7,-10,5,-10,6,-9,5,-9,5,-10,5,-11,0,0,4,-11,3,-11,3,-10,3,-11,2,-10,2,-11,1,-10,1,-9,0,-9,-1,-9,-2,-9,-3,-8,-5,-8,-6,-9,-7,-10,-9,-9,-11,-10,-11,-10,-14,-10,-14,-12,-16,-12,-16,-12,-18,-14,-19,-14,-19,-17,-20,-18,0,0,0,0,0,0,0,0,0,0
2.16138,1,28,-64,1,0,0,0,0,0,0,0,0,0,23,25,23,23,24,31,17,26,14,22,16,23,14,25,12,21,11,21,10,20,10,18,10,17,6,14,10,12,10,11,9,11,8,10,13,10,11,7,10,9,12,6,14,6,12,6,14,5,14,6,15,5,0,0,16,4,13,2,13,2,11,3,10,2,15,-2,9,6,11,-5,16,7,15,8,6,-3,7,-7,5,-7,5,-7,10,-8,7,-11,9,-15,9,-17,8,-15,10,-21,8,-20,11,-24,11,-25,12,-25,15,-26,14,-28,0,0,0,0,0,0,0,0,0,0
2.16683,1,-99,-48,9,0,0,0,0,0,0,0,0,0,-2,23,-3,24,-5,23,-5,22,-6,19,-8,19,-7,17,-7,16,-7,14,-7,13,-6,13,-6,11,-5,12,-4,10,-4,9,-2,10,-2,9,-1,8,-1,9,1,9,0,8,1,9,1,8,2,9,3,9,2,9,0,0,4,9,3,8,4,8,3,7,3,8,3,8,4,8,4,6,4,5,5,5,6,5,6,4,7,2,8,2,8,1,11,0,11,0,12,-1,14,-1,13,-1,16,-1,17,-2,17,-1,20,-1,20,-1,21,-1,0,0,0,0,0,0,0,0,0,0
2.1819,1,-121,112,8,0,0,0,0,0,0,0,0,0,41,10,38,12,37,14,34,14,31,14,28,16,26,18,24,17,22,15,20,17,21,14,18,14,16,12,16,10,15,7,15,8,16,5,16,4,14,1,14,1,16,2,12,1,16,1,16,-1,17,-1,15,-1,0,0,15,-2,15,1,15,-1,13,-4,19,0,16,-2,13,-3,19,-12,10,-7,11,-6,9,-12,10,-7,7,-10,6,-12,6,-14,5,-16,5,-19,5,-19,6,-21,4,-23,7,-26,4,-26,6,-31,4,-32,7,-33,6,-35,0,0,0,0,0,0,0,0,0,0
2.19549,1,-122,-31,23,0,0,0,0,0,0,0,0,0,12,12,20,16,12,15,14,17,17,10,9,11,12,17,14,8,7,15,3,13,12,9,3,13,4,11,1,8,5,8,3,10,5,9,3,7,4,7,4,7,4,7,6,6,5,6,6,6,5,7,7,8,0,0,5,5,5,7,6,6,6,5,5,6,6,5,6,6,5,5,4,5,5,4,5,4,6,1,6,2,6,2,9,0,8,0,9,0,11,-1,11,-1,12,-2,13,-1,14,-2,15,-1,17,0,18,0,19,1,0,0,0,0,0,0,0,0,0,0
2.21914,1,-122,-31,23,0,0,0,0,0,0,0,0,0,9,-13,10,-12,9,-12,9,-10,9,-10,10,-8,10,-7,9,-7,9,-7,8,-6,8,-5,8,-5,6,-5,7,-4,6,-5,5,-5,5,-5,4,-5,4,-5,4,-6,3,-6,4,-6,3,-5,2,-7,2,-5,2,-7,0,0,3,-6,2,-7,0,-7,3,-5,0,-6,0,-7,0,-5,1,-5,1,-6,-2,-5,1,-4,-1,-5,0,-5,-3,-6,-3,-5,-3,-3,-5,-6,-5,-6,-6,-5,-7,-7,-7,-6,-8,-7,-9,-8,-9,-8,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0
2.225,1,-122,-31,23,0,0,0,0,0,0,0,0,0,12,-41,13,-38,13,-37,16,-34,16,-32,18,-30,18,-27,17,-25,17,-23,17,-22,16,-21,16,-17,13,-17,12,-16,10,-16,9,-17,8,-16,6,-15,5,-16,4,-17,3,-16,3,-17,3,-16,2,-17,1,-18,1,-17,0,0,0,-16,0,-17,-1,-17,-1,-16,-1,-16,-2,-17,-4,-14,-3,-14,-3,-13,-5,-12,-6,-12,-7,-11,-7,-8,-11,-10,-11,-10,-14,-8,-15,-8,-17,-8,-19,-7,-23,-7,-24,-8,-25,-8,-27,-9,-30,-10,-30,-9,-34,-11,0,0,0,0,0,0,0,0,0,0
2.24287,1,82,-96,4,0,0,0,0,0,0,0,0,0,-16,-5,-16,-5,-14,-5,-14,-8,-13,-6,-12,-8,-11,-8,-11,-8,-9,-7,-8,-6,-9,-7,-9,-6,-7,-6,-7,-5,-7,-4,-8,-3,-7,-4,-6,-2,-6,-2,-8,-2,-6,-2,-6,-1,-7,0,-6,-1,-7,-2,-8,0,0,0,-7,1,-7,0,-7,1,-6,1,-7,0,-7,1,-6,1,-5,1,-5,2,-4,3,-5,3,-5,3,-3,3,-4,5,-2,4,-2,5,-2,5,-2,6,-1,7,0,8,-1,9,0,9,0,10,0,10,0,11,-1,12,0,0,0,0,0,0,0,0,0,0
2.69045,1,82,-96,4,0,0,0,0,0,0,0,0,0,11,-18,12,-19,12,-17,14,-18,13,-17,14,-16,16,-14,14,-12,14,-12,14,-12,14,-13,14,-12,13,-12,13,-12,13,-11,12,-11,12,-10,11,-10,11,-11,10,-10,11,-11,10,-10,9,-10,9,-10,9,-11,8,-11,0,0,8,-10,7,-11,7,-11,6,-10,7,-11,6,-11,6,-10,5,-10,5,-9,4,-9,4,-9,3,-9,3,-10,3,-9,2,-8,1,-9,1,-8,1,-8,0,-7,-1,-7,-2,-7,-2,-7,-3,-6,-4,-6,-4,-6,-5,-6,0,0,0,0,0,0,0,0,0,0
3.02653,1,82,-96,4,0,0,0,0,0,0,0,0,0,-22,5,-21,3,-22,3,-23,2,-21,1,-22,0,-21,0,-20,-2,-20,-1,-19,-1,-19,-2,-18,-2,-18,-2,-18,-2,-17,-2,-17,-1,-16,-1,-15,-3,-16,-1,-15,-1,-14,0,-15,0,-14,-1,-14,0,-15,0,-14,0,0,0,-13,1,-13,2,-13,2,-13,2,-12,1,-12,2,-11,3,-11,2,-10,2,-11,3,-10,3,-9,3,-9,3,-8,4,-7,3,-7,4,-6,5,-6,4,-5,4,-5,5,-5,5,-4,4,-3,5,-2,5,-1,6,-1,6,0,0,0,0,0,0,0,0,0,0
