real_timestamp,Zone,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
3.42725,1,84,-64,4,0,0,0,0,0,0,0,0,0,16,-1,17,-1,17,1,17,1,16,2,15,2,15,3,14,4,14,3,13,3,13,3,12,4,11,3,11,3,10,3,11,2,10,2,10,2,10,2,10,1,9,2,9,1,9,1,9,1,9,0,9,0,0,0,8,-1,9,-1,9,-2,8,-2,8,-1,8,-1,8,-2,7,-2,7,-2,7,-3,7,-3,7,-3,6,-3,6,-3,6,-4,5,-4,5,-5,4,-5,4,-6,4,-6,3,-7,3,-7,2,-7,2,-9,2,-9,2,-10,0,0,0,0,0,0,0,0,0,0
3.43614,1,84,-64,4,0,0,0,0,0,0,0,0,0,3,-20,5,-19,4,-19,5,-18,6,-18,6,-18,6,-16,7,-15,8,-14,8,-14,7,-13,7,-13,7,-12,7,-13,6,-11,5,-12,5,-11,3,-12,4,-12,4,-12,4,-11,4,-12,3,-10,3,-11,2,-11,2,-11,0,0,1,-10,1,-11,1,-11,0,-9,0,-11,1,-11,-1,-10,0,-10,0,-9,-1,-9,-1,-9,-2,-9,-2,-8,-3,-8,-4,-8,-4,-7,-5,-6,-4,-7,-5,-6,-6,-6,-6,-6,-7,-5,-8,-5,-9,-5,-9,-5,-10,-4,0,0,0,0,0,0,0,0,0,0
3.45122,1,84,-64,4,0,0,0,0,0,0,0,0,0,15,-3,15,-2,17,-1,17,-1,17,0,17,0,15,0,15,2,14,2,13,2,13,1,13,2,12,2,11,1,10,2,11,1,10,1,10,0,10,1,10,0,9,1,9,1,9,0,9,-1,9,-2,9,-1,0,0,8,-2,8,-2,8,-2,8,-2,8,-2,7,-2,7,-3,6,-3,6,-2,6,-3,5,-4,5,-3,5,-3,4,-4,4,-4,3,-5,3,-5,2,-5,2,-6,1,-5,1,-6,0,-6,0,-7,-1,-8,0,-8,-1,-9,0,0,0,0,0,0,0,0,0,0
3.46629,1,84,-64,4,0,0,0,0,0,0,0,0,0,20,7,18,7,19,8,18,9,17,9,16,10,15,10,14,10,13,10,13,10,13,10,11,9,11,9,11,8,10,8,11,7,10,6,9,6,10,6,10,6,9,5,9,5,9,4,10,3,9,4,9,3,0,0,9,2,9,1,8,2,8,0,8,2,8,0,8,0,7,-3,6,-1,7,-1,8,1,6,-1,6,-3,4,-3,5,-4,4,-4,4,-4,6,-5,3,-5,3,-4,4,-9,2,-9,1,-7,-1,-5,-1,-8,1,-9,0,0,0,0,0,0,0,0,0,0
3.47732,1,84,-64,4,0,0,0,0,0,0,0,0,0,3,17,1,18,1,18,1,18,-1,16,-1,17,-1,15,-1,15,-2,15,-3,13,-3,14,-2,13,-2,13,-2,13,-2,13,-2,11,-2,10,-1,9,-1,10,0,9,-1,9,0,9,0,8,0,9,2,8,1,8,0,0,2,7,2,7,1,7,3,6,2,6,2,6,2,5,3,5,3,5,3,3,3,4,3,4,4,2,4,2,3,2,4,1,4,1,4,-1,4,-1,4,-2,5,-2,5,-3,5,-4,5,-5,6,-5,6,-6,0,0,0,0,0,0,0,0,0,0
3.50834,1,84,-64,4,0,0,0,0,0,0,0,0,0,5,18,4,18,4,18,2,19,2,17,1,17,0,16,0,15,-1,14,-1,14,-1,14,-1,12,-1,12,-1,12,-1,11,0,10,0,9,0,8,1,9,1,8,1,8,2,7,2,7,2,7,2,6,3,6,0,0,3,5,4,6,3,5,4,5,4,5,4,4,4,4,4,3,4,3,3,2,3,1,4,1,4,0,4,0,3,-1,4,-2,4,-3,3,-3,4,-4,3,-5,4,-6,4,-7,4,-7,3,-9,4,-9,4,-10,0,0,0,0,0,0,0,0,0,0
3.55006,1,84,-64,4,0,0,0,0,0,0,0,0,0,51,40,64,59,53,67,71,83,57,84,52,66,41,83,28,63,13,66,25,66,43,88,25,77,27,60,45,57,23,42,49,73,20,41,34,36,30,42,33,37,41,41,55,49,54,31,54,38,48,60,48,60,0,0,58,38,53,40,71,54,61,29,62,34,84,36,58,41,50,34,77,22,40,38,55,27,53,13,57,5,58,17,53,17,60,1,64,2,65,-1,73,2,80,-4,79,0,96,-13,94,-21,102,-30,101,-23,115,-19,0,0,0,0,0,0,0,0,0,0
3.5562,1,84,-64,4,0,0,0,0,0,0,0,0,0,16,-1,17,1,16,1,16,3,15,3,14,4,13,5,13,4,11,4,11,4,11,4,10,4,9,4,9,3,9,4,7,2,6,2,8,1,7,1,7,0,6,1,7,-1,7,0,7,-2,6,0,7,-3,0,0,7,-3,5,-3,6,-1,6,-3,5,-2,5,-4,5,-3,6,-3,5,-3,5,-4,3,-5,3,-5,3,-6,3,-6,3,-5,2,-7,1,-7,0,-6,1,-8,1,-8,0,-9,1,-9,0,-11,-2,-11,0,-12,-1,-13,0,0,0,0,0,0,0,0,0,0
3.56121,1,84,-64,4,0,0,0,0,0,0,0,0,0,10,-44,4,-44,16,-33,10,-23,14,-32,19,-27,22,-23,20,-25,16,-24,16,-22,16,-23,14,-20,14,-19,11,-18,11,-19,10,-17,9,-15,6,-16,7,-17,6,-17,5,-17,4,-16,3,-16,2,-17,2,-17,1,-16,0,0,0,-16,-1,-16,-3,-16,-2,-14,-3,-14,-4,-14,-5,-14,-5,-14,-5,-12,-7,-11,-8,-12,-9,-11,-10,-10,-10,-9,-11,-8,-13,-7,-15,-6,-16,-5,-17,-6,-18,-4,-21,-3,-23,-2,-23,-1,-25,0,-26,0,-28,-1,0,0,0,0,0,0,0,0,0,0
3.56747,1,84,-64,4,0,0,0,0,0,0,0,0,0,-14,-15,-14,-17,-14,-17,-12,-17,-11,-16,-9,-15,-8,-16,-8,-17,-8,-14,-6,-14,-5,-13,-6,-13,-4,-14,-6,-12,-4,-11,-4,-13,-4,-11,-6,-7,-5,-9,-5,-10,-7,-9,-7,-9,-5,-7,-7,-5,-6,-7,-7,-6,0,0,-7,-6,-7,-6,-7,-5,-7,-4,-8,-5,-8,-4,-7,-5,-8,-4,-8,-5,-8,-2,-7,-3,-9,-1,-7,-2,-8,-1,-7,1,-8,1,-7,1,-8,2,-9,3,-9,4,-9,5,-11,5,-11,6,-9,7,-12,6,-13,8,0,0,0,0,0,0,0,0,0,0
3.57329,1,84,-64,4,0,0,0,0,0,0,0,0,0,0,20,-1,17,-2,19,-2,16,-3,16,-4,15,-4,15,-5,12,-5,12,-8,12,-5,10,-6,10,-4,11,-5,9,-4,10,-3,9,-5,8,-2,11,-2,8,-1,8,-2,8,-1,7,-3,8,-3,9,0,8,-2,7,0,0,-2,8,0,8,1,6,0,8,0,6,2,6,2,6,1,6,0,8,1,7,1,5,3,6,4,5,3,4,3,4,4,2,6,4,5,3,7,3,8,4,8,4,9,4,9,6,10,3,9,6,12,4,0,0,0,0,0,0,0,0,0,0
3.57825,1,84,-64,4,0,0,0,0,0,0,0,0,0,-10,-18,-8,-17,-8,-19,-6,-19,-6,-19,-4,-18,-3,-17,-3,-15,-3,-15,-1,-16,-2,-14,-2,-14,-2,-13,-3,-13,-2,-11,-3,-11,-3,-10,-2,-10,-2,-10,-3,-9,-3,-9,-3,-9,-5,-10,-5,-9,-4,-9,-5,-8,0,0,-4,-7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-7,-6,-7,-5,-6,-5,-7,-4,-8,-3,-7,-4,-8,-3,-7,-2,-7,-1,-8,-2,-8,0,-7,2,-8,1,-9,2,-9,1,-11,-1,-9,6,-11,4,-10,2,-10,2,0,0,0,0,0,0,0,0,0,0
3.58408,1,84,-64,4,0,0,0,0,0,0,0,0,0,16,-17,19,-11,11,-9,22,-14,7,-12,17,-11,18,-4,13,-10,10,-8,11,-8,11,-7,10,-7,10,-7,8,-6,7,-7,8,-7,9,-7,5,-7,7,-6,6,-6,6,-7,4,-8,5,-7,4,-7,5,-8,4,-7,0,0,2,-7,3,-7,3,-6,2,-7,2,-7,0,-7,1,-7,-1,-8,1,-6,0,-6,-1,-6,-1,-6,-3,-7,-2,-6,-3,-6,-4,-6,-4,-6,-5,-5,-6,-5,-7,-5,-7,-4,-8,-6,-9,-5,-10,-4,-11,-5,-11,-5,0,0,0,0,0,0,0,0,0,0
3.59085,1,84,-64,4,0,0,0,0,0,0,0,0,0,-19,-3,-20,-5,-19,-5,-18,-6,-16,-6,-16,-6,-16,-7,-14,-8,-14,-7,-14,-7,-13,-7,-11,-6,-11,-5,-11,-6,-10,-6,-10,-5,-10,-5,-9,-5,-8,-4,-8,-4,-10,-3,-8,-3,-8,-3,-8,-3,-9,-1,-9,-1,0,0,-8,-1,-8,1,-8,0,-8,0,-7,0,-7,1,-7,0,-7,1,-6,1,-5,2,-6,2,-5,3,-5,3,-4,4,-5,3,-5,4,-3,4,-3,4,-3,6,-2,6,-2,6,-2,7,-2,8,0,8,-1,9,-1,10,0,0,0,0,0,0,0,0,0,0
3.59729,1,84,-64,4,0,0,0,0,0,0,0,0,0,1,-23,2,-22,4,-23,4,-23,6,-22,4,-21,7,-20,7,-18,6,-18,7,-17,7,-16,6,-16,5,-14,5,-13,5,-13,5,-13,4,-12,3,-12,2,-11,2,-11,2,-11,0,-11,1,-11,1,-10,0,-10,0,-10,0,0,-1,-9,-2,-9,-2,-9,-2,-9,-3,-8,-3,-9,-4,-10,-4,-9,-4,-7,-4,-8,-4,-6,-5,-7,-6,-7,-6,-6,-5,-4,-7,-3,-7,-3,-8,-2,-8,-3,-9,-2,-9,-1,-10,0,-11,0,-12,1,-12,0,-13,3,0,0,0,0,0,0,0,0,0,0
3.62993,1,84,-64,4,0,0,0,0,0,0,0,0,0,-27,-12,-26,-12,-25,-14,-25,-15,-23,-15,-21,-16,-19,-16,-18,-16,-16,-15,-16,-16,-15,-14,-14,-14,-14,-13,-13,-11,-12,-11,-13,-10,-12,-9,-11,-9,-11,-8,-12,-8,-11,-7,-12,-7,-11,-7,-12,-6,-12,-5,-12,-5,0,0,-11,-5,-11,-3,-11,-4,-11,-3,-10,-3,-11,-3,-12,-2,-10,-2,-10,-1,-10,-1,-10,-1,-9,0,-8,1,-8,2,-8,2,-8,2,-7,4,-7,5,-7,5,-7,6,-7,8,-7,9,-7,10,-7,12,-7,12,-7,13,0,0,0,0,0,0,0,0,0,0
3.6364,1,84,-64,4,0,0,0,0,0,0,0,0,0,-32,-9,-30,-11,-30,-13,-28,-13,-25,-14,-24,-14,-22,-14,-21,-15,-19,-14,-19,-14,-18,-13,-16,-13,-16,-12,-15,-11,-14,-10,-14,-10,-13,-8,-14,-8,-13,-7,-14,-6,-13,-6,-14,-5,-14,-5,-14,-4,-14,-3,-14,-4,0,0,-13,-3,-14,-2,-12,-1,-13,-2,-13,-1,-12,-1,-11,0,-11,0,-11,0,-11,1,-11,2,-10,2,-9,3,-10,4,-9,4,-8,5,-7,6,-7,7,-6,7,-6,9,-6,10,-6,11,-5,12,-5,14,-5,14,-5,16,0,0,0,0,0,0,0,0,0,0
3.64249,1,84,-64,4,0,0,0,0,0,0,0,0,0,-8,-16,-11,-13,-12,-19,-6,-16,-9,-12,-9,-14,-7,-14,-9,-12,-8,-14,-7,-10,-11,-9,-10,-13,-5,-10,-9,-5,-12,-7,-8,-8,-5,-3,-11,-2,-11,-5,-7,-5,-6,1,-11,1,-11,-3,-6,-2,-7,4,-11,3,0,0,-5,1,-7,7,-9,5,-9,3,-6,3,-4,4,-6,7,-6,3,-2,3,-2,7,-4,7,-3,5,1,5,1,6,0,6,0,4,3,4,5,5,4,6,4,3,6,1,8,3,6,3,6,-1,10,-3,11,0,0,0,0,0,0,0,0,0,0,0
3.64795,1,84,-64,4,0,0,0,0,0,0,0,0,0,16,11,15,12,14,13,13,14,11,13,11,12,9,12,9,13,9,13,7,13,6,12,6,12,6,10,8,10,6,8,6,9,7,8,5,8,7,7,6,5,7,7,8,7,6,7,7,6,6,4,7,6,0,0,6,5,7,4,6,4,8,3,7,3,7,3,7,3,6,3,7,2,4,1,6,0,6,0,5,-1,7,-1,6,-1,5,-2,5,-2,6,-3,6,-4,7,-4,6,-5,5,-6,7,-7,6,-9,7,-8,6,-10,0,0,0,0,0,0,0,0,0,0
3.65859,1,84,-64,4,0,0,0,0,0,0,0,0,0,4,-103,15,-101,15,-99,19,-99,21,-89,29,-83,31,-84,34,-76,30,-77,33,-69,25,-67,31,-67,30,-70,15,-56,15,-53,15,-57,16,-58,8,-49,7,-48,10,-54,12,-58,9,-58,6,-53,0,-56,5,-61,7,-63,0,0,3,-54,0,-57,-3,-54,-4,-49,-3,-50,-4,-52,-2,-53,-3,-48,-10,-44,-1,-53,-8,-50,-10,-44,-13,-41,-10,-43,-11,-36,-15,-38,-18,-37,-21,-35,-21,-31,-28,-33,-32,-36,-31,-30,-36,-26,-44,-28,-45,-28,-49,-30,0,0,0,0,0,0,0,0,0,0
3.66538,1,84,-64,4,0,0,0,0,0,0,0,0,0,15,0,15,0,15,0,14,2,14,3,13,3,12,4,11,3,11,3,10,3,10,4,10,4,9,3,9,3,9,2,9,2,9,2,9,2,8,2,9,1,9,2,9,2,8,2,8,2,9,2,9,1,0,0,8,1,9,1,8,1,7,1,7,0,8,1,7,2,7,1,6,-1,5,-1,7,-1,6,-1,5,-1,7,-2,5,-2,6,-2,6,-2,4,-3,4,-4,4,-5,5,-5,4,-5,4,-6,4,-7,5,-6,4,-7,0,0,0,0,0,0,0,0,0,0
3.67139,1,84,-64,4,0,0,0,0,0,0,0,0,0,-22,-3,-22,-4,-21,-5,-21,-7,-20,-7,-19,-8,-18,-8,-15,-8,-16,-8,-15,-8,-15,-7,-15,-6,-14,-7,-14,-7,-14,-6,-14,-6,-13,-6,-13,-5,-13,-7,-14,-5,-14,-6,-13,-5,-12,-5,-14,-4,-14,-4,-13,-4,0,0,-13,-4,-13,-4,-13,-3,-12,-3,-13,-2,-13,-3,-12,-3,-12,-2,-11,-2,-12,-2,-10,-1,-11,-1,-10,-1,-8,1,-11,2,-10,1,-9,1,-10,3,-9,4,-8,3,-8,5,-7,4,-8,6,-7,8,-8,8,-8,8,0,0,0,0,0,0,0,0,0,0
3.68348,1,84,-64,4,0,0,0,0,0,0,0,0,0,-18,14,-18,13,-21,12,-19,12,-19,11,-21,9,-20,8,-20,6,-18,6,-17,6,-17,6,-17,5,-16,6,-16,6,-15,6,-14,7,-15,5,-15,5,-16,6,-14,6,-14,4,-14,5,-13,6,-13,7,-13,7,-14,6,0,0,-13,5,-12,7,-14,4,-13,6,-12,6,-10,4,-12,4,-12,7,-11,7,-11,6,-10,7,-8,5,-6,4,-9,5,-7,6,-8,6,-7,7,-5,7,-4,7,-5,7,-2,8,-2,8,-2,8,-1,10,-1,10,0,11,0,0,0,0,0,0,0,0,0,0
3.6896,1,84,-64,4,0,0,0,0,0,0,0,0,0,16,5,17,6,18,7,17,8,16,8,14,9,14,9,12,10,13,9,11,10,12,9,12,9,12,9,11,8,10,8,10,8,10,9,10,6,9,7,9,7,10,8,10,7,8,6,10,5,10,6,9,6,0,0,9,6,9,5,10,6,10,5,9,5,9,6,9,5,9,4,9,4,8,3,9,3,8,3,8,3,8,2,7,2,7,0,7,1,7,0,6,-1,6,-1,7,-1,7,-2,6,-3,6,-4,7,-5,6,-5,0,0,0,0,0,0,0,0,0,0
3.69584,1,84,-64,4,0,0,0,0,0,0,0,0,0,-25,-6,-23,-7,-25,-8,-23,-6,-21,-9,-23,-9,-21,-10,-20,-10,-18,-13,-18,-9,-18,-11,-15,-10,-17,-5,-18,-9,-17,-10,-17,-8,-16,-10,-15,-7,-15,-6,-13,-7,-17,-6,-14,-6,-15,-4,-15,-5,-14,-8,-16,-7,0,0,-18,-6,-14,-3,-15,-4,-18,-4,-17,-6,-14,-5,-15,-3,-16,3,-4,-8,-9,1,-15,0,-9,-3,-11,-1,-12,-3,-10,0,-12,-3,-9,2,-10,2,-12,3,-8,3,-8,3,-8,4,-9,5,-7,6,-8,6,-6,7,0,0,0,0,0,0,0,0,0,0
3.70948,1,84,-64,4,0,0,0,0,0,0,0,0,0,23,-9,24,-8,24,-7,24,-7,23,-5,23,-4,22,-3,21,-3,21,-3,21,-1,20,-2,20,-1,19,-2,19,-2,16,-2,17,-1,17,-2,16,-2,16,-2,16,-2,16,-2,16,-3,14,-4,15,-4,16,-3,14,-4,0,0,12,-5,13,-5,13,-4,13,-5,12,-5,12,-5,11,-5,11,-6,11,-6,11,-5,9,-5,9,-7,9,-6,8,-5,9,-5,7,-6,7,-5,6,-7,5,-7,4,-7,4,-7,3,-6,1,-7,0,-8,0,-8,-1,-9,0,0,0,0,0,0,0,0,0,0
3.71677,1,84,-64,4,0,0,0,0,0,0,0,0,0,-2,-23,-1,-24,0,-24,1,-25,2,-23,3,-23,4,-21,4,-21,4,-20,3,-19,3,-19,3,-18,3,-19,4,-19,4,-17,4,-17,3,-16,2,-15,2,-16,3,-15,2,-16,2,-15,2,-15,0,-15,1,-15,0,-14,0,0,0,-14,-1,-12,-1,-14,-2,-14,-1,-13,0,-14,0,-12,-2,-12,-2,-12,-3,-12,-3,-11,-3,-9,-3,-9,-3,-9,-3,-9,-3,-8,-4,-6,-6,-8,-5,-6,-5,-6,-5,-5,-5,-5,-6,-4,-7,-3,-7,-2,-8,-1,0,0,0,0,0,0,0,0,0,0
3.7271,1,84,-64,4,0,0,0,0,0,0,0,0,0,-9,-20,-8,-19,-7,-20,-5,-21,-5,-19,-4,-19,-4,-19,-3,-18,-2,-17,-2,-17,-3,-17,-2,-16,-2,-17,-2,-16,-2,-15,-2,-15,-3,-15,-3,-13,-2,-14,-3,-13,-3,-13,-4,-12,-3,-12,-3,-12,-4,-13,-4,-13,0,0,-4,-12,-5,-11,-5,-11,-4,-10,-4,-12,-5,-9,-5,-10,-5,-9,-4,-8,-6,-8,-5,-8,-5,-8,-6,-7,-4,-7,-6,-6,-5,-5,-5,-5,-5,-4,-5,-4,-5,-3,-5,-2,-6,-2,-6,-1,-6,-1,-7,1,-6,1,0,0,0,0,0,0,0,0,0,0
3.73541,1,84,-64,4,0,0,0,0,0,0,0,0,0,-23,-3,-24,-4,-23,-5,-23,-6,-21,-8,-21,-6,-19,-8,-20,-9,-18,-10,-17,-8,-17,-6,-17,-7,-17,-7,-15,-7,-14,-6,-14,-5,-14,-6,-14,-6,-15,-5,-14,-6,-14,-6,-13,-5,-14,-5,-13,-4,-14,-3,-13,-2,0,0,-13,-3,-13,-2,-13,-2,-12,-2,-12,-2,-11,-1,-12,-2,-11,-2,-11,-2,-11,0,-10,0,-10,1,-8,0,-9,1,-9,1,-8,1,-7,1,-7,2,-7,1,-7,3,-5,3,-4,3,-3,4,-4,4,-3,5,-2,5,0,0,0,0,0,0,0,0,0,0
3.75584,1,84,-64,4,0,0,0,0,0,0,0,0,0,12,-18,13,-17,14,-17,14,-16,15,-15,14,-14,14,-13,14,-11,15,-10,14,-11,14,-10,14,-10,13,-10,13,-10,12,-9,12,-10,11,-9,11,-9,10,-8,10,-9,10,-10,8,-9,10,-9,9,-10,8,-9,9,-9,0,0,8,-9,8,-10,7,-10,6,-9,7,-10,6,-8,6,-9,6,-9,5,-9,4,-8,4,-9,4,-8,3,-8,2,-8,1,-7,2,-8,1,-8,0,-6,1,-6,-1,-6,-1,-6,-3,-5,-3,-6,-3,-5,-4,-5,-4,-5,0,0,0,0,0,0,0,0,0,0
3.76189,1,84,-64,4,0,0,0,0,0,0,0,0,0,6,-21,7,-21,9,-20,10,-21,10,-19,10,-18,10,-17,9,-16,10,-16,10,-15,9,-15,9,-14,9,-14,9,-14,8,-14,7,-13,7,-12,7,-12,7,-13,7,-13,6,-12,6,-13,5,-12,5,-12,4,-12,4,-13,0,0,2,-12,3,-12,3,-12,2,-11,2,-11,2,-12,1,-12,1,-10,2,-10,0,-9,0,-10,-1,-10,0,-9,-1,-9,-2,-8,-2,-8,-2,-7,-3,-7,-3,-6,-4,-5,-3,-5,-4,-4,-5,-4,-6,-3,-6,-3,-7,-2,0,0,0,0,0,0,0,0,0,0
3.76826,1,84,-64,4,0,0,0,0,0,0,0,0,0,-20,11,-20,9,-20,10,-21,7,-21,7,-20,7,-19,5,-20,5,-18,5,-19,3,-18,4,-17,4,-17,3,-17,4,-16,3,-16,5,-15,3,-14,4,-14,3,-14,4,-14,4,-13,4,-13,3,-12,4,-12,5,-12,5,0,0,-11,5,-11,5,-11,5,-10,5,-10,6,-10,5,-9,5,-9,5,-9,6,-8,5,-8,6,-8,6,-6,5,-6,6,-5,5,-5,6,-4,5,-4,5,-3,5,-2,6,-1,5,-1,5,0,6,0,5,1,4,2,5,0,0,0,0,0,0,0,0,0,0
3.77586,1,84,-64,4,0,0,0,0,0,0,0,0,0,-18,8,-18,7,-20,7,-19,4,-17,5,-18,2,-21,5,-17,2,-16,1,-17,3,-11,2,-14,2,-15,4,-13,0,-12,3,-14,3,-13,2,-13,1,-13,0,-12,1,-13,0,-12,4,-10,-1,-12,4,-10,4,-10,3,0,0,-10,3,-9,3,-10,3,-11,3,-10,3,-9,4,-8,4,-9,1,-8,5,-7,3,-9,3,-7,2,-5,3,-6,5,-5,5,-4,0,-4,4,-4,4,-4,4,-2,4,-3,5,-1,4,-1,5,2,2,1,5,2,5,0,0,0,0,0,0,0,0,0,0
3.7891,1,84,-64,4,0,0,0,0,0,0,0,0,0,1,22,2,20,0,22,-1,21,-1,20,-2,21,-4,17,-4,21,-4,16,-2,18,-5,18,-3,18,-2,18,-5,16,-6,16,-4,14,-2,14,-2,13,-1,15,-1,15,0,13,-2,13,-1,11,-3,13,-2,12,1,12,0,0,0,11,0,11,1,10,1,10,3,12,3,10,4,10,2,7,0,7,-1,6,5,6,1,9,2,6,4,7,1,6,2,4,3,7,2,4,3,4,4,3,4,1,5,2,3,1,5,-1,4,0,4,0,0,0,0,0,0,0,0,0,0,0
3.79709,1,84,-64,4,0,0,0,0,0,0,0,0,0,-21,-4,-21,-6,-21,-6,-21,-6,-20,-7,-19,-6,-18,-9,-17,-7,-17,-8,-16,-8,-16,-7,-16,-7,-15,-8,-15,-8,-14,-6,-13,-7,-14,-6,-12,-6,-13,-6,-13,-6,-12,-5,-13,-4,-13,-4,-13,-4,-13,-3,-13,-2,0,0,-12,-2,-11,-2,-11,-1,-10,-1,-11,-1,-10,-1,-10,-1,-11,0,-9,0,-9,0,-9,1,-9,0,-8,2,-7,1,-7,2,-7,1,-6,2,-6,2,-6,3,-5,2,-4,3,-4,3,-3,4,-2,4,-1,4,-1,5,0,0,0,0,0,0,0,0,0,0
3.80454,1,84,-64,4,0,0,0,0,0,0,0,0,0,20,14,20,16,18,17,18,17,17,18,15,16,14,17,14,17,14,18,12,17,11,16,10,16,11,15,8,16,8,14,8,15,8,15,9,14,9,13,9,12,9,13,9,11,8,11,9,11,9,11,9,11,0,0,8,11,10,9,8,9,9,8,9,8,9,10,7,7,8,6,0,3,5,12,8,4,7,7,9,5,8,4,6,4,7,4,5,2,7,1,6,1,6,1,5,-1,5,0,5,-3,4,-3,5,-4,5,-5,0,0,0,0,0,0,0,0,0,0
3.81371,1,84,-64,4,0,0,0,0,0,0,0,0,0,-11,20,-11,19,-12,19,-14,19,-14,17,-13,16,-15,16,-15,14,-14,13,-13,13,-13,14,-12,10,-11,13,-12,13,-11,12,-11,11,-10,11,-10,12,-9,10,-11,11,-9,11,-8,11,-5,8,-7,11,-5,11,-7,10,0,0,-6,11,-5,9,-5,11,-4,10,-3,11,-4,10,-4,10,-2,11,-3,9,-2,9,-1,9,-1,8,0,8,0,7,0,7,0,7,1,6,1,6,2,4,2,4,2,4,3,4,4,2,4,2,4,2,5,1,0,0,0,0,0,0,0,0,0,0
3.82772,1,84,-64,4,0,0,0,0,0,0,0,0,0,20,-5,21,-5,20,-4,21,-3,20,-2,19,-1,19,0,17,0,17,0,16,0,16,1,16,0,16,0,15,1,14,1,14,0,14,-1,12,0,12,0,12,-1,12,-1,12,-1,11,-1,11,-1,11,-2,11,-2,0,0,10,-2,9,-3,10,-3,9,-3,9,-3,8,-4,9,-4,8,-4,8,-3,7,-3,8,-3,6,-4,6,-4,6,-4,6,-4,5,-4,4,-4,4,-4,3,-5,2,-5,2,-5,0,-5,0,-5,-1,-5,-1,-5,-2,-6,0,0,0,0,0,0,0,0,0,0
3.83335,1,84,-64,4,0,0,0,0,0,0,0,0,0,-10,-23,-9,-26,-9,-25,-7,-25,-6,-24,-5,-24,-5,-23,-5,-22,-3,-22,-4,-21,-2,-21,-2,-20,-3,-20,-5,-18,-2,-19,-3,-19,-2,-18,-3,-17,-3,-16,-4,-16,-3,-15,-3,-15,-5,-15,-5,-16,-5,-14,-5,-14,0,0,-5,-13,-5,-14,-6,-12,-6,-12,-7,-11,-7,-11,-6,-11,-6,-10,-6,-10,-6,-9,-8,-9,-7,-7,-7,-8,-7,-6,-6,-6,-7,-5,-6,-5,-8,-4,-7,-3,-5,-2,-6,-1,-6,0,-6,1,-6,1,-5,1,-7,3,0,0,0,0,0,0,0,0,0,0
3.84412,1,84,-64,4,0,0,0,0,0,0,0,0,0,22,4,21,5,20,6,21,7,20,7,20,7,19,7,17,8,17,9,15,7,15,8,16,8,16,7,15,8,15,9,15,7,13,7,12,7,14,5,14,7,13,6,12,4,13,4,12,4,13,4,12,3,0,0,11,3,11,2,11,2,11,2,10,2,10,2,11,2,9,0,9,0,9,0,9,-1,8,0,8,-1,7,-1,7,-1,6,-1,6,-3,4,-2,5,-3,4,-2,4,-3,3,-5,1,-4,1,-5,0,-6,1,-6,0,0,0,0,0,0,0,0,0,0
3.85737,1,84,-64,4,0,0,0,0,0,0,0,0,0,20,13,19,14,18,14,18,15,17,15,15,15,14,16,14,15,13,15,13,15,13,15,12,14,11,14,11,13,10,13,11,12,10,11,10,10,10,10,10,10,10,10,9,9,10,9,10,8,10,7,10,7,0,0,11,7,10,6,10,6,11,5,10,5,10,5,10,5,10,3,9,4,9,3,9,2,8,2,8,1,8,1,8,0,7,0,6,-1,6,-1,6,-1,5,-2,4,-3,4,-3,3,-4,2,-5,3,-5,2,-6,0,0,0,0,0,0,0,0,0,0
3.86914,1,84,-64,4,0,0,0,0,0,0,0,0,0,4,-22,5,-22,5,-22,6,-22,6,-20,7,-19,7,-19,7,-18,8,-17,7,-17,7,-17,7,-16,8,-16,7,-16,8,-15,7,-14,6,-14,6,-13,6,-13,6,-14,6,-13,5,-13,5,-12,3,-12,4,-13,3,-12,0,0,3,-12,2,-12,2,-12,2,-11,2,-12,2,-11,1,-11,1,-10,1,-10,0,-9,0,-10,0,-9,0,-9,-1,-9,-1,-7,-2,-7,-2,-7,-2,-6,-3,-6,-3,-5,-3,-5,-4,-4,-4,-3,-5,-2,-5,-2,-6,-1,0,0,0,0,0,0,0,0,0,0
